# end,N(end),p0,p0_theo
1.00e-01,9.93e+00,1.00e+00,1.00e+00
1.60e-01,9.84e+00,1.00e+00,1.00e+00
2.19e-01,9.80e+00,1.00e+00,1.00e+00
2.79e-01,9.68e+00,1.00e+00,1.00e+00
3.38e-01,9.64e+00,1.00e+00,1.00e+00
3.98e-01,9.63e+00,1.00e+00,1.00e+00
4.58e-01,9.50e+00,1.00e+00,1.00e+00
5.17e-01,9.50e+00,1.00e+00,1.00e+00
5.77e-01,9.49e+00,1.00e+00,1.00e+00
6.36e-01,9.30e+00,1.00e+00,1.00e+00
6.96e-01,9.38e+00,1.00e+00,1.00e+00
7.56e-01,9.23e+00,1.00e+00,1.00e+00
8.15e-01,9.26e+00,1.00e+00,1.00e+00
8.75e-01,9.18e+00,9.99e-01,1.00e+00
9.34e-01,9.10e+00,1.00e+00,1.00e+00
9.94e-01,9.05e+00,1.00e+00,1.00e+00
1.05e+00,9.06e+00,9.99e-01,9.99e-01
1.11e+00,8.98e+00,1.00e+00,9.99e-01
1.17e+00,8.94e+00,9.99e-01,9.99e-01
1.23e+00,8.80e+00,9.99e-01,9.99e-01
1.29e+00,8.71e+00,9.99e-01,9.98e-01
1.35e+00,8.68e+00,9.95e-01,9.98e-01
1.41e+00,8.73e+00,9.99e-01,9.98e-01
1.47e+00,8.57e+00,9.97e-01,9.97e-01
1.53e+00,8.51e+00,9.96e-01,9.96e-01
1.59e+00,8.53e+00,9.97e-01,9.96e-01
1.65e+00,8.59e+00,9.94e-01,9.95e-01
1.71e+00,8.50e+00,9.94e-01,9.94e-01
1.77e+00,8.37e+00,9.94e-01,9.93e-01
1.83e+00,8.33e+00,9.92e-01,9.92e-01
1.89e+00,8.47e+00,9.88e-01,9.91e-01
1.95e+00,8.19e+00,9.90e-01,9.90e-01
2.01e+00,8.26e+00,9.89e-01,9.88e-01
2.07e+00,8.13e+00,9.86e-01,9.87e-01
2.13e+00,7.99e+00,9.83e-01,9.86e-01
2.19e+00,7.91e+00,9.84e-01,9.84e-01
2.25e+00,8.02e+00,9.79e-01,9.82e-01
2.31e+00,7.91e+00,9.80e-01,9.80e-01
2.36e+00,7.82e+00,9.77e-01,9.79e-01
2.42e+00,7.82e+00,9.74e-01,9.77e-01
2.48e+00,7.80e+00,9.75e-01,9.75e-01
2.54e+00,7.95e+00,9.74e-01,9.72e-01
2.60e+00,7.74e+00,9.71e-01,9.70e-01
2.66e+00,7.49e+00,9.69e-01,9.68e-01
2.72e+00,7.66e+00,9.68e-01,9.65e-01
2.78e+00,7.45e+00,9.61e-01,9.63e-01
2.84e+00,7.47e+00,9.61e-01,9.60e-01
2.90e+00,7.38e+00,9.57e-01,9.58e-01
2.96e+00,7.48e+00,9.54e-01,9.55e-01
3.02e+00,7.24e+00,9.44e-01,9.52e-01
3.08e+00,7.30e+00,9.46e-01,9.49e-01
3.14e+00,7.20e+00,9.47e-01,9.46e-01
3.20e+00,7.13e+00,9.41e-01,9.43e-01
3.26e+00,7.13e+00,9.40e-01,9.40e-01
3.32e+00,7.07e+00,9.39e-01,9.37e-01
3.38e+00,6.98e+00,9.29e-01,9.33e-01
3.44e+00,7.01e+00,9.29e-01,9.30e-01
3.50e+00,7.06e+00,9.26e-01,9.27e-01
3.56e+00,6.92e+00,9.22e-01,9.23e-01
3.62e+00,7.00e+00,9.17e-01,9.20e-01
3.68e+00,6.91e+00,9.14e-01,9.16e-01
