# end,N(end),p0,p0_theo
1.00e-01,1.00e+01,1.00e+00,1.00e+00
1.60e-01,9.98e+00,1.00e+00,1.00e+00
2.19e-01,9.98e+00,1.00e+00,1.00e+00
2.79e-01,9.98e+00,1.00e+00,1.00e+00
3.38e-01,1.00e+01,1.00e+00,1.00e+00
3.98e-01,9.99e+00,1.00e+00,1.00e+00
4.58e-01,9.98e+00,1.00e+00,1.00e+00
5.17e-01,9.98e+00,1.00e+00,1.00e+00
5.77e-01,1.00e+01,1.00e+00,1.00e+00
6.36e-01,9.94e+00,1.00e+00,1.00e+00
6.96e-01,9.95e+00,1.00e+00,1.00e+00
7.56e-01,9.92e+00,1.00e+00,1.00e+00
8.15e-01,9.96e+00,1.00e+00,1.00e+00
8.75e-01,9.98e+00,1.00e+00,1.00e+00
9.34e-01,1.00e+01,1.00e+00,1.00e+00
9.94e-01,9.99e+00,1.00e+00,1.00e+00
1.05e+00,1.00e+01,1.00e+00,1.00e+00
1.11e+00,9.98e+00,1.00e+00,1.00e+00
1.17e+00,1.00e+01,1.00e+00,1.00e+00
1.23e+00,9.97e+00,1.00e+00,1.00e+00
1.29e+00,1.00e+01,1.00e+00,1.00e+00
1.35e+00,1.00e+01,1.00e+00,1.00e+00
1.41e+00,9.99e+00,1.00e+00,1.00e+00
1.47e+00,1.01e+01,1.00e+00,1.00e+00
1.53e+00,1.00e+01,1.00e+00,1.00e+00
1.59e+00,9.93e+00,1.00e+00,1.00e+00
1.65e+00,1.00e+01,1.00e+00,1.00e+00
1.71e+00,1.00e+01,1.00e+00,1.00e+00
1.77e+00,1.00e+01,1.00e+00,1.00e+00
1.83e+00,9.91e+00,1.00e+00,1.00e+00
1.89e+00,1.00e+01,9.99e-01,1.00e+00
1.95e+00,1.00e+01,9.99e-01,1.00e+00
2.01e+00,9.95e+00,1.00e+00,1.00e+00
2.07e+00,9.95e+00,1.00e+00,1.00e+00
2.13e+00,1.00e+01,1.00e+00,1.00e+00
2.19e+00,1.00e+01,9.99e-01,1.00e+00
2.25e+00,1.00e+01,1.00e+00,9.99e-01
2.31e+00,9.98e+00,1.00e+00,9.99e-01
2.36e+00,9.93e+00,9.99e-01,9.99e-01
2.42e+00,9.96e+00,9.99e-01,9.99e-01
2.48e+00,1.01e+01,9.99e-01,9.99e-01
2.54e+00,9.90e+00,9.99e-01,9.99e-01
2.60e+00,9.92e+00,9.99e-01,9.99e-01
2.66e+00,1.01e+01,9.99e-01,9.99e-01
2.72e+00,9.86e+00,9.98e-01,9.99e-01
2.78e+00,9.94e+00,9.98e-01,9.98e-01
2.84e+00,1.00e+01,9.99e-01,9.98e-01
2.90e+00,1.01e+01,9.98e-01,9.98e-01
2.96e+00,9.96e+00,9.98e-01,9.98e-01
