# end,N(end),p0,p0_theo
1.00e-01,9.71e+00,1.00e+00,1.00e+00
1.60e-01,9.54e+00,1.00e+00,1.00e+00
2.19e-01,9.36e+00,1.00e+00,1.00e+00
2.79e-01,9.18e+00,1.00e+00,1.00e+00
3.38e-01,9.04e+00,1.00e+00,1.00e+00
3.98e-01,8.88e+00,1.00e+00,1.00e+00
4.58e-01,8.72e+00,1.00e+00,1.00e+00
5.17e-01,8.54e+00,1.00e+00,1.00e+00
5.77e-01,8.39e+00,1.00e+00,1.00e+00
6.36e-01,8.23e+00,1.00e+00,1.00e+00
6.96e-01,8.07e+00,1.00e+00,1.00e+00
7.56e-01,7.94e+00,1.00e+00,1.00e+00
8.15e-01,7.84e+00,1.00e+00,1.00e+00
8.75e-01,7.70e+00,1.00e+00,1.00e+00
9.34e-01,7.53e+00,1.00e+00,1.00e+00
9.94e-01,7.36e+00,1.00e+00,1.00e+00
1.05e+00,7.30e+00,1.00e+00,1.00e+00
1.11e+00,7.15e+00,1.00e+00,1.00e+00
1.17e+00,7.03e+00,1.00e+00,1.00e+00
1.23e+00,6.95e+00,1.00e+00,1.00e+00
1.29e+00,6.78e+00,1.00e+00,1.00e+00
1.35e+00,6.65e+00,1.00e+00,1.00e+00
1.41e+00,6.55e+00,1.00e+00,1.00e+00
1.47e+00,6.47e+00,1.00e+00,1.00e+00
1.53e+00,6.32e+00,1.00e+00,1.00e+00
1.59e+00,6.22e+00,1.00e+00,1.00e+00
1.65e+00,6.05e+00,1.00e+00,1.00e+00
1.71e+00,6.00e+00,1.00e+00,9.99e-01
1.77e+00,5.88e+00,9.99e-01,9.99e-01
1.83e+00,5.81e+00,9.99e-01,9.99e-01
1.89e+00,5.68e+00,9.99e-01,9.99e-01
1.95e+00,5.62e+00,9.99e-01,9.99e-01
2.01e+00,5.43e+00,9.98e-01,9.98e-01
2.07e+00,5.41e+00,9.99e-01,9.98e-01
2.13e+00,5.26e+00,9.97e-01,9.98e-01
2.19e+00,5.20e+00,9.98e-01,9.97e-01
2.25e+00,5.09e+00,9.96e-01,9.97e-01
2.31e+00,4.97e+00,9.97e-01,9.96e-01
2.36e+00,4.95e+00,9.94e-01,9.96e-01
2.42e+00,4.90e+00,9.94e-01,9.95e-01
2.48e+00,4.72e+00,9.94e-01,9.94e-01
2.54e+00,4.64e+00,9.94e-01,9.94e-01
2.60e+00,4.59e+00,9.95e-01,9.93e-01
2.66e+00,4.52e+00,9.91e-01,9.92e-01
2.72e+00,4.42e+00,9.92e-01,9.91e-01
2.78e+00,4.30e+00,9.90e-01,9.89e-01
2.84e+00,4.26e+00,9.86e-01,9.88e-01
2.90e+00,4.19e+00,9.87e-01,9.87e-01
2.96e+00,4.08e+00,9.82e-01,9.85e-01
3.02e+00,4.07e+00,9.82e-01,9.84e-01
3.08e+00,3.96e+00,9.83e-01,9.82e-01
3.14e+00,3.92e+00,9.78e-01,9.80e-01
3.20e+00,3.76e+00,9.76e-01,9.78e-01
3.26e+00,3.76e+00,9.76e-01,9.76e-01
3.32e+00,3.68e+00,9.74e-01,9.74e-01
3.38e+00,3.64e+00,9.70e-01,9.72e-01
3.44e+00,3.60e+00,9.73e-01,9.69e-01
3.50e+00,3.51e+00,9.66e-01,9.66e-01
3.56e+00,3.41e+00,9.63e-01,9.64e-01
3.62e+00,3.39e+00,9.61e-01,9.61e-01
3.68e+00,3.32e+00,9.59e-01,9.58e-01
3.74e+00,3.26e+00,9.55e-01,9.55e-01
3.79e+00,3.19e+00,9.48e-01,9.52e-01
3.85e+00,3.17e+00,9.47e-01,9.48e-01
3.91e+00,3.11e+00,9.43e-01,9.45e-01
3.97e+00,3.00e+00,9.40e-01,9.41e-01
4.03e+00,2.99e+00,9.37e-01,9.37e-01
4.09e+00,2.91e+00,9.35e-01,9.33e-01
4.15e+00,2.85e+00,9.22e-01,9.29e-01
4.21e+00,2.86e+00,9.32e-01,9.25e-01
4.27e+00,2.75e+00,9.18e-01,9.21e-01
4.33e+00,2.80e+00,9.13e-01,9.16e-01
4.39e+00,2.94e+00,9.11e-01,9.12e-01
4.45e+00,3.00e+00,9.07e-01,9.08e-01
4.51e+00,3.09e+00,9.00e-01,9.04e-01
4.57e+00,3.27e+00,8.97e-01,9.00e-01
4.63e+00,3.46e+00,8.96e-01,8.96e-01
4.69e+00,3.53e+00,8.93e-01,8.92e-01
4.75e+00,3.64e+00,8.83e-01,8.89e-01
4.81e+00,3.85e+00,8.91e-01,8.85e-01
4.87e+00,3.89e+00,8.77e-01,8.82e-01
4.93e+00,4.05e+00,8.83e-01,8.79e-01
4.99e+00,4.24e+00,8.70e-01,8.76e-01
5.05e+00,4.41e+00,8.82e-01,8.73e-01
5.11e+00,4.38e+00,8.58e-01,8.70e-01
5.17e+00,4.75e+00,8.63e-01,8.67e-01
5.23e+00,4.82e+00,8.65e-01,8.64e-01
5.28e+00,5.09e+00,8.60e-01,8.62e-01
5.34e+00,5.31e+00,8.62e-01,8.59e-01
5.40e+00,5.45e+00,8.53e-01,8.57e-01
5.46e+00,5.55e+00,8.49e-01,8.54e-01
5.52e+00,5.73e+00,8.58e-01,8.52e-01
5.58e+00,6.10e+00,8.54e-01,8.50e-01
5.64e+00,6.03e+00,8.44e-01,8.48e-01
5.70e+00,6.65e+00,8.48e-01,8.46e-01
5.76e+00,6.62e+00,8.42e-01,8.44e-01
5.82e+00,6.95e+00,8.43e-01,8.42e-01
5.88e+00,7.34e+00,8.50e-01,8.40e-01
5.94e+00,7.52e+00,8.33e-01,8.39e-01
6.00e+00,7.93e+00,8.42e-01,8.37e-01
