# N0,  p0, p0_theo
1.00e+00,2.19e-01,2.03e-01
2.00e+00,3.61e-01,3.65e-01
3.00e+00,5.05e-01,4.94e-01
4.00e+00,6.18e-01,5.97e-01
5.00e+00,6.94e-01,6.79e-01
6.00e+00,7.20e-01,7.44e-01
7.00e+00,8.02e-01,7.96e-01
8.00e+00,8.58e-01,8.38e-01
9.00e+00,8.75e-01,8.71e-01
1.00e+01,8.88e-01,8.97e-01
1.10e+01,9.07e-01,9.18e-01
1.20e+01,9.34e-01,9.35e-01
1.30e+01,9.56e-01,9.48e-01
1.40e+01,9.54e-01,9.58e-01
1.50e+01,9.68e-01,9.67e-01
1.60e+01,9.74e-01,9.74e-01
1.70e+01,9.72e-01,9.79e-01
1.80e+01,9.81e-01,9.83e-01
1.90e+01,9.84e-01,9.87e-01
2.00e+01,9.95e-01,9.89e-01
2.10e+01,9.87e-01,9.92e-01
2.20e+01,9.94e-01,9.93e-01
2.30e+01,9.89e-01,9.95e-01
2.40e+01,9.94e-01,9.96e-01
2.50e+01,1.00e+00,9.97e-01
2.60e+01,9.97e-01,9.97e-01
2.70e+01,9.98e-01,9.98e-01
2.80e+01,9.99e-01,9.98e-01
2.90e+01,1.00e+00,9.99e-01
3.00e+01,9.97e-01,9.99e-01
3.10e+01,9.99e-01,9.99e-01
3.20e+01,1.00e+00,9.99e-01
3.30e+01,9.99e-01,9.99e-01
3.40e+01,1.00e+00,1.00e+00
3.50e+01,9.99e-01,1.00e+00
3.60e+01,1.00e+00,1.00e+00
3.70e+01,1.00e+00,1.00e+00
3.80e+01,1.00e+00,1.00e+00
3.90e+01,9.98e-01,1.00e+00
4.00e+01,1.00e+00,1.00e+00
4.10e+01,1.00e+00,1.00e+00
4.20e+01,1.00e+00,1.00e+00
4.30e+01,1.00e+00,1.00e+00
4.40e+01,1.00e+00,1.00e+00
4.50e+01,1.00e+00,1.00e+00
4.60e+01,1.00e+00,1.00e+00
4.70e+01,9.99e-01,1.00e+00
4.80e+01,1.00e+00,1.00e+00
4.90e+01,1.00e+00,1.00e+00
5.00e+01,1.00e+00,1.00e+00
