# N0,  p0, p0_theo
1.00e+00,7.80e-02,7.21e-02
2.00e+00,1.52e-01,1.39e-01
3.00e+00,2.14e-01,2.01e-01
4.00e+00,2.58e-01,2.59e-01
5.00e+00,2.95e-01,3.12e-01
6.00e+00,3.48e-01,3.62e-01
7.00e+00,3.93e-01,4.08e-01
8.00e+00,4.51e-01,4.51e-01
9.00e+00,4.76e-01,4.90e-01
1.00e+01,5.26e-01,5.27e-01
1.10e+01,5.66e-01,5.61e-01
1.20e+01,6.04e-01,5.93e-01
1.30e+01,6.08e-01,6.22e-01
1.40e+01,6.38e-01,6.49e-01
1.50e+01,6.82e-01,6.75e-01
1.60e+01,6.65e-01,6.98e-01
1.70e+01,7.36e-01,7.20e-01
1.80e+01,7.22e-01,7.40e-01
1.90e+01,7.71e-01,7.59e-01
2.00e+01,7.85e-01,7.76e-01
2.10e+01,8.06e-01,7.92e-01
2.20e+01,8.12e-01,8.07e-01
2.30e+01,8.07e-01,8.21e-01
2.40e+01,8.27e-01,8.34e-01
2.50e+01,8.43e-01,8.46e-01
2.60e+01,8.51e-01,8.57e-01
2.70e+01,8.63e-01,8.68e-01
2.80e+01,8.68e-01,8.77e-01
2.90e+01,8.98e-01,8.86e-01
3.00e+01,8.88e-01,8.94e-01
3.10e+01,9.26e-01,9.02e-01
3.20e+01,9.09e-01,9.09e-01
3.30e+01,9.03e-01,9.15e-01
3.40e+01,9.16e-01,9.22e-01
3.50e+01,9.27e-01,9.27e-01
3.60e+01,9.43e-01,9.32e-01
3.70e+01,9.36e-01,9.37e-01
3.80e+01,9.37e-01,9.42e-01
3.90e+01,9.55e-01,9.46e-01
4.00e+01,9.53e-01,9.50e-01
4.10e+01,9.55e-01,9.54e-01
4.20e+01,9.54e-01,9.57e-01
4.30e+01,9.64e-01,9.60e-01
4.40e+01,9.76e-01,9.63e-01
4.50e+01,9.68e-01,9.66e-01
4.60e+01,9.60e-01,9.68e-01
4.70e+01,9.64e-01,9.70e-01
4.80e+01,9.79e-01,9.73e-01
4.90e+01,9.68e-01,9.74e-01
5.00e+01,9.81e-01,9.76e-01
