# N0,  p0, p0_theo
1.00e+00,6.00e-02,7.21e-02
2.00e+00,1.29e-01,1.39e-01
3.00e+00,2.21e-01,2.01e-01
4.00e+00,2.51e-01,2.59e-01
5.00e+00,3.09e-01,3.12e-01
6.00e+00,3.78e-01,3.62e-01
7.00e+00,4.00e-01,4.08e-01
8.00e+00,4.59e-01,4.51e-01
9.00e+00,4.86e-01,4.90e-01
1.00e+01,5.10e-01,5.27e-01
1.10e+01,5.51e-01,5.61e-01
1.20e+01,5.91e-01,5.93e-01
1.30e+01,6.33e-01,6.22e-01
1.40e+01,6.35e-01,6.49e-01
1.50e+01,6.61e-01,6.75e-01
1.60e+01,6.95e-01,6.98e-01
1.70e+01,7.27e-01,7.20e-01
1.80e+01,7.48e-01,7.40e-01
1.90e+01,7.53e-01,7.59e-01
2.00e+01,7.79e-01,7.76e-01
2.10e+01,8.02e-01,7.92e-01
2.20e+01,8.24e-01,8.07e-01
2.30e+01,8.00e-01,8.21e-01
2.40e+01,8.45e-01,8.34e-01
2.50e+01,8.36e-01,8.46e-01
2.60e+01,8.55e-01,8.57e-01
2.70e+01,8.67e-01,8.68e-01
2.80e+01,8.70e-01,8.77e-01
2.90e+01,8.91e-01,8.86e-01
3.00e+01,8.78e-01,8.94e-01
3.10e+01,9.12e-01,9.02e-01
3.20e+01,9.18e-01,9.09e-01
3.30e+01,9.06e-01,9.15e-01
3.40e+01,9.19e-01,9.22e-01
3.50e+01,9.20e-01,9.27e-01
3.60e+01,9.36e-01,9.32e-01
3.70e+01,9.37e-01,9.37e-01
3.80e+01,9.32e-01,9.42e-01
3.90e+01,9.35e-01,9.46e-01
4.00e+01,9.66e-01,9.50e-01
4.10e+01,9.46e-01,9.54e-01
4.20e+01,9.56e-01,9.57e-01
4.30e+01,9.54e-01,9.60e-01
4.40e+01,9.61e-01,9.63e-01
4.50e+01,9.60e-01,9.66e-01
4.60e+01,9.79e-01,9.68e-01
4.70e+01,9.73e-01,9.70e-01
4.80e+01,9.73e-01,9.73e-01
4.90e+01,9.78e-01,9.74e-01
5.00e+01,9.67e-01,9.76e-01
