# N0,  p0, p0_theo
1.00e+00,2.55e-01,2.52e-01
2.00e+00,4.49e-01,4.41e-01
3.00e+00,5.80e-01,5.82e-01
4.00e+00,6.58e-01,6.88e-01
5.00e+00,7.97e-01,7.67e-01
6.00e+00,8.27e-01,8.25e-01
7.00e+00,8.87e-01,8.70e-01
8.00e+00,9.05e-01,9.02e-01
9.00e+00,9.22e-01,9.27e-01
1.00e+01,9.47e-01,9.45e-01
1.10e+01,9.58e-01,9.59e-01
1.20e+01,9.67e-01,9.70e-01
1.30e+01,9.85e-01,9.77e-01
1.40e+01,9.86e-01,9.83e-01
1.50e+01,9.80e-01,9.87e-01
1.60e+01,9.94e-01,9.90e-01
1.70e+01,9.93e-01,9.93e-01
1.80e+01,9.93e-01,9.95e-01
1.90e+01,9.96e-01,9.96e-01
2.00e+01,1.00e+00,9.97e-01
2.10e+01,9.98e-01,9.98e-01
2.20e+01,9.98e-01,9.98e-01
2.30e+01,1.00e+00,9.99e-01
2.40e+01,9.98e-01,9.99e-01
2.50e+01,9.99e-01,9.99e-01
2.60e+01,1.00e+00,9.99e-01
2.70e+01,1.00e+00,1.00e+00
2.80e+01,1.00e+00,1.00e+00
2.90e+01,1.00e+00,1.00e+00
3.00e+01,1.00e+00,1.00e+00
3.10e+01,1.00e+00,1.00e+00
3.20e+01,1.00e+00,1.00e+00
3.30e+01,1.00e+00,1.00e+00
3.40e+01,1.00e+00,1.00e+00
3.50e+01,1.00e+00,1.00e+00
3.60e+01,1.00e+00,1.00e+00
3.70e+01,1.00e+00,1.00e+00
3.80e+01,1.00e+00,1.00e+00
3.90e+01,1.00e+00,1.00e+00
4.00e+01,1.00e+00,1.00e+00
4.10e+01,1.00e+00,1.00e+00
4.20e+01,1.00e+00,1.00e+00
4.30e+01,1.00e+00,1.00e+00
4.40e+01,1.00e+00,1.00e+00
4.50e+01,1.00e+00,1.00e+00
4.60e+01,1.00e+00,1.00e+00
4.70e+01,1.00e+00,1.00e+00
4.80e+01,1.00e+00,1.00e+00
4.90e+01,1.00e+00,1.00e+00
5.00e+01,1.00e+00,1.00e+00
