# N0,  p0, p0_theo
1.00e+00,3.11e-01,3.12e-01
2.00e+00,5.33e-01,5.26e-01
3.00e+00,6.43e-01,6.74e-01
4.00e+00,7.92e-01,7.75e-01
5.00e+00,8.38e-01,8.45e-01
6.00e+00,8.91e-01,8.94e-01
7.00e+00,9.15e-01,9.27e-01
8.00e+00,9.58e-01,9.50e-01
9.00e+00,9.62e-01,9.65e-01
1.00e+01,9.79e-01,9.76e-01
1.10e+01,9.89e-01,9.84e-01
1.20e+01,9.83e-01,9.89e-01
1.30e+01,9.90e-01,9.92e-01
1.40e+01,9.96e-01,9.95e-01
1.50e+01,9.96e-01,9.96e-01
1.60e+01,9.96e-01,9.97e-01
1.70e+01,9.99e-01,9.98e-01
1.80e+01,9.98e-01,9.99e-01
1.90e+01,9.99e-01,9.99e-01
2.00e+01,9.99e-01,9.99e-01
2.10e+01,1.00e+00,1.00e+00
2.20e+01,1.00e+00,1.00e+00
2.30e+01,9.99e-01,1.00e+00
2.40e+01,1.00e+00,1.00e+00
2.50e+01,1.00e+00,1.00e+00
2.60e+01,1.00e+00,1.00e+00
2.70e+01,1.00e+00,1.00e+00
2.80e+01,1.00e+00,1.00e+00
2.90e+01,1.00e+00,1.00e+00
3.00e+01,1.00e+00,1.00e+00
3.10e+01,1.00e+00,1.00e+00
3.20e+01,1.00e+00,1.00e+00
3.30e+01,1.00e+00,1.00e+00
3.40e+01,1.00e+00,1.00e+00
3.50e+01,1.00e+00,1.00e+00
3.60e+01,1.00e+00,1.00e+00
3.70e+01,1.00e+00,1.00e+00
3.80e+01,1.00e+00,1.00e+00
3.90e+01,1.00e+00,1.00e+00
4.00e+01,1.00e+00,1.00e+00
4.10e+01,1.00e+00,1.00e+00
4.20e+01,1.00e+00,1.00e+00
4.30e+01,1.00e+00,1.00e+00
4.40e+01,1.00e+00,1.00e+00
4.50e+01,1.00e+00,1.00e+00
4.60e+01,1.00e+00,1.00e+00
4.70e+01,1.00e+00,1.00e+00
4.80e+01,1.00e+00,1.00e+00
4.90e+01,1.00e+00,1.00e+00
5.00e+01,1.00e+00,1.00e+00
